Sim_ID,Stable,Norbits_instability,Norbits,Mplanet,RH/a,a1,P1,e1,pomega1,inc1,Omega1,f1,x1,y1,z1,vx1,vy1,vz1,a2,P2,e2,pomega2,inc2,Omega2,f2,x2,y2,z2,vx2,vy2,vz2,a3,P3,e3,pomega3,inc3,Omega3,f3,x3,y3,z3,vx3,vy3,vz3,Rel_Eerr,integ_time
460,True,10000000.0,10000000.0,1.5e-05,0.0215443469003,0.0459645385627,0.00985442071582,0.00795711466992,-1.5615711267,7.55440435033e-05,-0.703521497884,-2.12277124124,-0.0395208703479,0.0238367952013,-5.57249277982e-07,-14.9034109393,-25.0935489645,-0.00218445602038,0.0539124461479,0.0125177721353,0.0121229603844,3.41738597024,0.0154645298345,1.99307119521,-0.891710938296,-0.0436637748185,0.0309059219674,0.000420073546957,-15.5420350737,-22.4043547294,0.361260755863,0.0631888008456,0.015883653307,0.000759095375549,1.09598218128,0.015571473391,1.31708890736,-0.288218844055,0.0436347826118,0.0456362882182,-0.000479383443244,-18.0796960908,17.2828714136,0.340090446329,2.26798782277e-08,1525.3961401
461,False,552362.408437,10000000.0,1.5e-05,0.0215443469003,0.0544039652218,0.012689443439,0.0109134804587,-0.337425382513,0.010911026367,-2.43032782065,0.555827735377,0.0526170067006,0.0116784407217,0.000278244065858,-5.73844053155,26.5761910856,-0.260547598948,0.0638268857409,0.0161249719477,0.00844289053501,3.11912556618,0.0033547672904,2.9861739856,-1.26951474471,-0.0175197716803,0.061203422646,-0.000193748779271,-23.9153677941,-7.05444376505,0.0358010411118,0.0737990244256,0.0200477740882,0.00297309802508,-4.01110667214,0.000740355799876,-1.59391223881,1.17477883032,-0.0703047764153,-0.0221540475075,-5.16575419507e-05,6.89882909439,-22.1041995033,0.00548448215769,4.51214812215e-07,84.4665529728
462,False,584292.128218,10000000.0,1.5e-05,0.0215443469003,0.0518535591171,0.0118076806574,0.00773024286857,-0.324095705334,0.000458161507834,0.0148646364954,-2.55853528873,-0.0504466437273,-0.013363215845,-5.77277555695e-06,7.13364141149,-26.4708665943,-0.0121667766311,0.0577716079059,0.0138856165551,0.0146418158345,-0.987515121807,0.0124418342984,1.15475199206,4.68754147164,-0.0490006028727,-0.0306158366557,0.000403725202731,14.1704593564,-21.9610656946,-0.271701884132,0.0680457004369,0.0177497100052,0.00426032665165,4.89257982513,0.0165846730043,2.29900711871,-4.96185420775,0.0678040461134,-0.00470929526461,-0.000787387385595,1.76647293034,24.04625448,-0.287307160517,8.39466397228e-07,88.2183508873
463,True,10000000.0,10000000.0,1.5e-05,0.0215443469003,0.0440775210831,0.00925385063996,0.00164436114358,-0.964277690394,0.0142054357813,0.438834189437,3.68925705402,-0.0403631990942,0.0178588056301,0.000473298345787,-12.0711563389,-27.3383387753,-0.278706815832,0.0506164424253,0.0113875661284,0.0153374576494,-2.09870259299,0.00363618425322,-3.1377393567,-3.87809647639,0.0488010377401,0.0154388371361,-5.5445923888e-05,-8.05460258958,26.4139399192,-0.0961582478257,0.0600036902448,0.0146979636596,0.0120483631033,4.21204613021,0.00755429331717,1.1624070946,-5.03614319526,0.040592151534,-0.0438629972001,-0.000413026014779,19.0979899605,17.2753808089,-0.0805817073229,1.10341702266e-08,1509.54994011
464,False,204952.813986,10000000.0,1.5e-05,0.0215443469003,0.0454384237772,0.00968571373741,0.00460570540815,1.75357525678,0.00287887101438,2.15957618761,-0.979922379591,0.0324212126711,0.0316664619644,-0.00012825518845,-20.7293517827,21.0617569176,0.0159616736717,0.0524781943033,0.0120215871859,0.0186470809744,-3.54977089222,0.0132306085501,-0.878410456459,5.11487420151,0.000294993787855,0.0520755651278,0.000442861430145,-27.6334875177,-0.311813650149,-0.284072902235,0.0609247715957,0.0150376888054,0.00891743224586,3.28054288298,0.000878763552219,2.38051912633,-0.70688325246,-0.0510097303494,0.0325470815044,1.02061005438e-05,-13.6615161927,-21.6852494214,0.0220785350379,2.2291356532e-06,31.4261960983
465,False,3495597.7427,10000000.0,1.5e-05,0.0215443469003,0.0438335408215,0.00917712344518,0.000541919049634,-4.8563878312,0.00965103217623,-1.79454041778,6.11747129227,0.0133538255859,0.0417253292226,3.63153452324e-05,-28.597525502,9.1495573189,-0.288709075829,0.0493925909046,0.0109770640281,0.0078686225543,2.07341430693,0.0145504295707,-0.87706876555,-4.754506128,-0.0442245397985,-0.0219377903794,-0.00069891353507,12.3697969717,-25.4335665573,-0.0982466188188,0.0582582965642,0.0140613462183,0.0103128109285,2.72211371552,0.0109372510242,-0.318570346396,-5.96625914267,-0.057382640536,0.00590619236925,-0.000135230844417,-2.77396275546,-26.1401493682,-0.281029834006,7.53697345993e-07,531.060684919
466,False,11672.3196276,10000000.0,1.5e-05,0.0215443469003,0.0579818467875,0.0139615877043,0.0197023227646,-5.3448699827,0.00232862556441,-3.04381942596,4.87559651647,0.0515283043374,-0.0261283801149,7.22567060617e-05,11.3883496031,23.5812019115,-0.0520632193838,0.0648410741679,0.0165108254803,0.0142774978023,2.21018459833,0.00701337458642,2.75413951722,0.733843585731,-0.0628995039,0.0125902451329,8.49095580935e-05,-5.12594818334,-24.4072361015,0.172073733142,0.0728839760833,0.0196760679638,0.00805726540147,-0.875635076717,0.00492947870487,-0.644986485471,1.7946070224,0.0442893079309,0.0580396388157,0.000359885018469,-18.3587493337,14.2393285028,0.00168444911748,1.35307686069e-06,1.93331885338
467,False,99481.0450424,10000000.0,1.5e-05,0.0215443469003,0.0450495112656,0.00956162855497,0.0175143599651,3.47787280749,0.00530128090006,1.66405383925,-0.880771288992,-0.0380967545981,0.0230697859049,0.00018969994483,-15.164524321,-25.8149701497,0.0927890009504,0.0514676691236,0.0116760309126,0.0177334594182,1.15082616276,0.00299026076961,0.683796851367,2.56517372506,-0.0438456160624,-0.0283778675156,1.70501992789e-05,14.6022651454,-23.0542836408,-0.0810239106159,0.0571225211171,0.013652157154,0.00684114741026,2.75213496285,0.000898969916981,2.26546108032,-1.31434695155,0.00756178508964,0.056516402842,-3.77452464349e-05,-26.1260151717,3.32009903397,0.0161333700979,2.41978768219e-07,15.3029940128
468,False,27127.0430457,10000000.0,1.5e-05,0.0215443469003,0.0599138939686,0.0146652024454,0.00374039690131,-2.24145045488,0.00666785773981,-1.70637093533,2.92710825903,0.0465432797506,0.0380737542512,0.000273168614406,-16.1775023207,19.8090540881,-0.124737451217,0.0683338311213,0.0178627014936,0.0131530833875,-2.1125132198,0.00507240742393,0.617675979733,4.4702055976,-0.0485339534312,0.0483896384245,0.00034268129306,-16.7010954396,-17.1855659067,-0.0220073920355,0.0791547486786,0.0222692550909,0.00362987922316,0.773229441391,0.00813382727712,3.04206062557,2.27559155808,-0.0789979255884,0.00734988389234,4.36259446771e-06,-2.12544818172,-22.1782366441,0.181223005444,8.16679893984e-08,4.27344107628
469,False,157354.468308,10000000.0,1.5e-05,0.0215443469003,0.0453106811335,0.0096448977748,0.0129134068458,4.09960799058,0.00164012996026,1.57369950723,-4.91449522092,0.0309963713781,-0.0328786913482,-5.06829018316e-05,21.7916185751,20.0305811812,-0.0358403429025,0.0513576428613,0.011638609851,0.0103133514283,1.50150705449,0.000913392084575,1.20827496838,2.18696635926,-0.0441239663104,-0.0268642380307,2.89783703818e-05,14.1334165869,-23.6627104324,-0.0197392198878,0.0580167090776,0.0139739718534,0.011145681285,4.00977397583,0.0110193732731,2.66443546385,-0.956368910785,-0.0574136915891,0.00507757423742,0.000240861714832,-2.07504608136,-26.1727800379,0.266705681911,3.4858590195e-06,24.15290308
