ID,Stable,Norbits,Mplanet,RH/a,a1,P1,e1,pomega1,inc1,Omega1,f1,a2,P2,e2,pomega2,inc2,Omega2,f2,a3,P3,e3,pomega3,inc3,Omega3,f3
1329,False,1000000.0,1.49999996211e-05,0.0215443465859,0.04880005121230001,0.0107802087441,0.052933961152999996,-3.33535194397,0.00771082937717,-2.92742919922,-0.8918727636339999,0.0596551448107,0.014570194296500001,0.0114381760359,-5.533967018130001,0.007253680378199999,-2.6892616748799996,4.16885900497,0.06261510401959999,0.0156678315252,0.04580981656909999,-0.437511235476,0.016780378297,-3.1003918647799997,-0.921713709831
1330,False,1000000.0,1.49999996211e-05,0.0215443465859,0.049045599997,0.010861675255,0.0230124369264,3.45707607269,0.0016984244575699997,0.431180119514,-3.25721812248,0.0560310073197,0.0132628278807,0.0933092981577,-5.73526144028,0.00852322205901,-3.00097894669,-0.35779580473899997,0.0662698894739,0.0170594342053,0.0615866556764,3.9890937805199997,0.00745181832463,2.83324670792,1.6935685873
1331,False,1000000.0,1.49999996211e-05,0.0215443465859,0.04841273278,0.0106521220878,0.0343240611255,-1.88338017464,0.0169905647635,-0.8373130559919999,4.171792507169999,0.054874598979900005,0.012854362838,0.0899177119136,1.4229426384000001,0.0073138433508599995,0.462294608355,-2.83458662033,0.062464315444199996,0.0156112695113,0.06280162185430001,-1.60050678253,0.013864256441600002,-1.5469216108300001,0.186966493726
1332,False,1000000.0,1.49999996211e-05,0.0215443465859,0.0487719662488,0.0107709039003,0.0450334846973,0.69666159153,0.00134408043232,-0.185770690441,-0.0355151556432,0.06093166023490001,0.0150403529406,0.0738168135285,3.4174554348000004,0.00792130734771,2.43161320686,-0.7120701670649999,0.0551209039986,0.0129409078509,0.031558021903,-0.0269827861339,0.0024573728442199997,-0.271323204041,2.74617767334
1333,True,1000000.0,1.49999996211e-05,0.0215443465859,0.05001259222630001,0.0111844791099,0.009006094187499999,-2.31649160385,0.0105716595426,-0.878840684891,-1.1148009300200001,0.0567280091345,0.0135110719129,0.0074433861300299995,-1.6182751655599998,0.00437852740288,0.32961100339899996,-0.020831931382400002,0.0644931197166,0.0163779798895,0.00451579643413,0.997253537178,0.010684113949500001,-1.64357626438,-5.671629905700001
1334,True,1000000.0,1.49999996211e-05,0.0215443465859,0.0500222109258,0.011187707073999999,0.0105479527265,1.1026663780200001,0.0088553307578,2.1304593086200003,1.8360180854799997,0.056684628129000006,0.0134955765679,0.004690896719689999,0.12771743536,0.0088619813323,2.62953710556,3.25029921532,0.0643429160118,0.0163207966834,0.00418406259269,-3.6075778007499997,0.0184584353119,-0.745996177197,0.453950017691
1335,False,1000000.0,1.49999996211e-05,0.0215443465859,0.053285501897300004,0.012300147675000001,0.0230213161558,2.34297513962,0.00201645982452,2.3627543449400004,0.41086858511,0.05201949179169999,0.0118643138558,0.012236600741700002,-0.296081185341,0.0044327597133800006,0.9786453247069999,3.0675561428099996,0.06446393579239999,0.0163668617606,0.014656412415200002,-1.48878729343,0.00748821813613,0.538266122341,3.59139466286
1336,False,1000000.0,1.49999996211e-05,0.0215443465859,0.0483431853354,0.0106291770935,0.048528917133800004,2.35061502457,0.006936289370060001,2.1549153327900004,-0.43730944395099997,0.0551583021879,0.0129541764036,0.0886759459972,-1.06282401085,0.0071910186670699995,1.0899823904000001,3.48576641083,0.060884300619400006,0.015022707171700001,0.030127769336099997,1.73630547523,0.0032340181060100002,1.02029573917,0.670418024063
1337,False,1000000.0,1.49999996211e-05,0.0215443465859,0.048411983996599996,0.0106518752873,0.052820097655100005,0.443472594023,0.00776465050876,3.1103656292000004,5.526493072509999,0.059482716023900005,0.0145070692524,0.040595751255800006,2.34185290337,0.013276124373099999,-0.448347866535,-5.693453788759999,0.059228040278,0.0144138922915,0.049184646457400005,4.287729263309999,0.007801220752300001,2.85886406898,-1.3588514328
1338,False,1000000.0,1.49999996211e-05,0.0215443465859,0.0478247515857,0.0104586556554,0.07412195205689999,1.4493124485,0.00981267355382,-1.32688987255,-3.35832762718,0.0568409822881,0.0135514531285,0.08774910122160001,-2.10069918633,0.018069408834,-1.97239482403,0.176254361868,0.06230517849330001,0.0155516481027,0.0364084392786,0.028719283640400002,0.0116887716576,-0.0150049552321,-1.62428247929
1339,False,1000000.0,1.49999996211e-05,0.0215443465859,0.0499832071364,0.011174624785799999,0.014254915528,-1.50488734245,0.0116572501138,-1.41688621044,2.5067825317400003,0.0544713847339,0.012712943367700002,0.06586149334909999,-4.6330575943,0.00603119982406,-2.0054752826700004,5.637744426729999,0.0631253346801,0.015859728679100002,0.0371410660446,-1.68074226379,0.00404830276966,-2.0945661068,0.735338568687
1340,False,1000000.0,1.49999996211e-05,0.0215443465859,0.049174763262300004,0.010904611088299997,0.0394505001605,2.50998663902,0.00615436863154,0.42309826612499996,-3.03257489204,0.0540150813758,0.0125535344705,0.0343903638422,-2.4408454895,0.0200226400048,0.542382180691,2.67584180832,0.0608449839056,0.0150081580505,0.0703163444996,0.111279562116,0.006400621030479999,-2.7802102565799998,0.11723111569900001
1341,False,1000000.0,1.49999996211e-05,0.0215443465859,0.0491737686098,0.0109042795375,0.05462614446880001,5.28437042236,0.011244687251699999,2.77202868462,-2.60701966286,0.0558632016182,0.0132032912225,0.07537576556210002,3.2405495643599997,0.0040506045334,1.1708586215999999,-0.5746736526489999,0.0657150298357,0.0168456323445,0.0530339367688,-4.96492576599,0.0117344586179,-1.8329911232,0.0774852409959
1342,False,1000000.0,1.49999996211e-05,0.0215443465859,0.0480873249471,0.010544905439,0.0640889704227,-2.73041176796,0.0176550187171,-0.34377223253300004,1.25352084637,0.05774024128909999,0.0138743091375,0.0961824506521,0.913539111614,0.0203389897943,-1.29069459438,-2.80744314194,0.0655454546213,0.016780469566600002,0.0433671809733,-1.4484738111500002,0.0218933708966,1.4592546224599998,5.83415794373
1343,True,1000000.0,1.49999996211e-05,0.0215443465859,0.0499685294926,0.011169702746,0.0108080068603,2.51225304604,0.00546102691442,0.457882761955,-2.9596431255299995,0.056905947625599994,0.013574692420700002,0.011750533245500001,-0.884449422359,0.02366758883,-1.91202664375,-1.89183151722,0.0648259520531,0.016504926607,0.00937384366989,-0.912431716919,0.00384449516423,-2.74130749702,-4.338052749630001
