Sim_ID,daOverRH1,daOverRH2,P2/P1,P3/P2,predprob,predstable,Norbits_instability,Stable
3958,5.52221898231,7.75219481666,1.18365713949,1.26070055527,0.00990768987685,False,63286.1400931,False
184,5.96196731015,8.72676008725,1.19872155427,1.29487597815,0.150689899921,False,10000000.0,True
650,7.7345280995,8.5213174643,1.26008384629,1.28764632578,0.851689875126,True,1634995.31845,False
4670,5.02201636118,6.02510323594,1.16659912689,1.20088960414,0.0313117019832,False,10000000.0,True
3951,6.75724533364,5.65398146433,1.22612606875,1.18816424867,0.0116483923048,False,263791.960623,False
2019,8.15571624766,8.7542715817,1.27481401201,1.29584514858,0.959817230701,True,10000000.0,True
1525,8.52821926865,7.86905234297,1.28788898529,1.26478234383,0.829581916332,True,10000000.0,True
1217,5.20033600875,8.47763876687,1.17267075057,1.28611098558,0.0911710560322,False,32656.18282,False
1622,6.37909461839,5.60703976412,1.21306961281,1.18655789136,0.00658300146461,False,10000000.0,True
957,8.71701594527,5.7995425841,1.29453277093,1.19314999187,0.0729910582304,False,461942.137573,False
297,7.99288550014,8.93231488476,1.26911258543,1.30212306923,0.983406722546,True,10000000.0,True
2438,8.74013052063,6.87324902875,1.29534695925,1.23014067248,0.976281523705,True,10000000.0,True
1374,8.74624572496,7.37416767425,1.29556238989,1.24752637929,0.574108839035,False,10000000.0,True
4955,7.89573620968,5.95946960416,1.26571501756,1.19863581153,0.0263184122741,False,348991.425521,False
2405,8.88406194596,6.77425292807,1.30042064069,1.22671438636,0.634814739227,False,10000000.0,True
2204,8.92603060804,8.02939999916,1.30190130932,1.27039037906,0.965843558311,True,10000000.0,True
4910,8.90350105983,6.51241263228,1.3011063894,1.21766738179,0.482439786196,False,2837437.22617,False
358,5.95860010998,6.56504502127,1.19860596332,1.2194841227,0.01676857844,False,28475.6677928,False
2495,8.79710665025,8.86505207186,1.29735461629,1.29975015086,0.917902767658,True,10000000.0,True
4219,5.36191635291,6.62007696011,1.17818148165,1.22138465546,0.0164460167289,False,18936.4501366,False
2261,7.18979143943,5.7600725324,1.24111765747,1.19179738048,0.0317057333887,False,3422751.29085,False
3415,6.41992687155,7.8793908463,1.21447718809,1.26514367552,0.705777168274,False,10000000.0,True
370,8.32171284883,8.08031628388,1.28063505127,1.27217286604,0.935371398926,True,10000000.0,True
3093,7.91571594523,8.22076097155,1.26641351381,1.27709389643,0.863510191441,True,10000000.0,True
1297,8.5839907417,6.68638769252,1.28985040645,1.2236760125,0.37802106142,False,10000000.0,True
3170,6.23838020914,6.44405535942,1.20822305615,1.21530920462,0.0325174443424,False,1113266.67568,False
176,8.06974577735,5.89427241021,1.27180274308,1.19639840343,0.214700847864,False,1153258.999,False
3671,7.3178721029,5.47451119685,1.24556843831,1.18202664052,0.0138176148757,False,4082.40829974,False
112,7.66435022886,7.47933478056,1.25763507443,1.25118680064,0.272384613752,False,2989986.92802,False
3535,6.25365785867,5.12146717555,1.20874894364,1.16998404212,0.0863441824913,False,220077.348358,False
3544,5.28225564619,7.49633614786,1.17546356047,1.2517788818,0.0302649624646,False,94584.6515624,False
819,5.66735220343,6.17509506209,1.18862193129,1.20604546663,0.00881982129067,False,7084.03002518,False
3748,5.13747206173,7.03190048412,1.17052909077,1.23563828809,0.0145565299317,False,35412.5651597,False
1470,8.96555421934,5.52061327447,1.30329622917,1.18360224949,0.119175814092,False,1417202.02479,False
561,5.7862377518,7.24126011992,1.19269398719,1.24290554703,0.0188611783087,False,9277.29666956,False
2606,6.67416970852,5.12329484373,1.22325371426,1.17004627935,0.00694005424157,False,43906.4335366,False
2305,7.56311253545,8.38265870341,1.25410530625,1.28277447068,0.938319027424,True,10000000.0,True
3679,8.28886772272,6.93665793592,1.27948256261,1.23233694772,0.791490316391,True,10000000.0,True
1960,6.52183370675,6.32503069462,1.21799250768,1.21120675098,0.0232234746218,False,62701.3104446,False
1007,8.20193576335,7.3753733985,1.27643391381,1.24756832518,0.521205425262,False,3657926.06945,False
4719,5.28097652387,5.34438808151,1.17541993553,1.1775832601,0.0042325919494,False,7793.39777172,False
816,5.42768701584,6.64582239024,1.18042706874,1.22227411479,0.00684659788385,False,29480.1240799,False
2189,7.87099453462,5.86869157996,1.26485022086,1.19552091265,0.0384089499712,False,58798.4814386,False
2099,7.83114209359,5.80246780534,1.2634576713,1.19325025754,0.00814938545227,False,750583.40474,False
2833,5.36993539031,8.15406028276,1.17845519682,1.27475598662,0.0271247141063,False,133762.915731,False
1275,8.7415187557,7.42963772128,1.29539586391,1.24945661108,0.898858606815,True,10000000.0,True
1156,6.5524680889,6.47931016711,1.21904991563,1.21652522849,0.0206321775913,False,16105.2770881,False
1766,6.99000986352,6.59996968369,1.2341858936,1.22069013456,0.0247918814421,False,106753.849011,False
3747,8.5617388599,7.0270707855,1.28906771303,1.23547080804,0.846331775188,True,10000000.0,True
741,7.10353302139,8.71204194482,1.23812318652,1.29435758909,0.403880119324,False,10000000.0,True
2617,5.76733941283,6.67213543249,1.19204637291,1.22318340711,0.00296317809261,False,47942.9318742,False
2093,7.21707196115,5.09945007728,1.24206520569,1.16923438485,0.0171976592392,False,1648915.10775,False
3171,8.15922201636,7.47304646099,1.27493685817,1.25096783042,0.765818178654,False,4649017.15015,False
4354,5.16254271204,5.18214061635,1.17138304557,1.17205073274,0.00611812574789,False,21021.1380247,False
658,5.25214125649,7.07744018536,1.17443664124,1.23721784594,0.0123795745894,False,960987.010694,False
182,5.93380249236,8.68573153981,1.19775481266,1.29343108028,0.558434724808,False,4950452.8465,False
1428,7.03925697961,5.64772156356,1.23589340459,1.18794999138,0.00849047210068,False,427440.327103,False
4478,8.66514324976,7.60393171908,1.29270622721,1.25552811611,0.873223364353,True,10000000.0,True
2168,7.39987259586,5.41252980485,1.24842072843,1.17990943459,0.0136889759451,False,20234.9400196,False
456,8.86634923414,6.74083728765,1.29979589877,1.22555857984,0.239672705531,False,1426115.03886,False
3556,8.57148157232,8.5963011218,1.2894103862,1.2902834831,0.934533774853,True,10000000.0,True
4560,5.9389759194,6.44143571542,1.19793236814,1.21521886293,0.197775661945,False,2665732.7624,False
848,8.14023716486,8.2172698708,1.27427165434,1.27697149529,0.78185659647,False,10000000.0,True
470,6.38432917543,5.52829714175,1.2132500288,1.18386492541,0.0156291536987,False,5782.18630996,False
