,Sim_ID,Stable,Norbits_instability,Norbits,Mplanet,RH/a,a1,P1,e1,pomega1,inc1,Omega1,f1,x1,y1,z1,vx1,vy1,vz1,a2,P2,e2,pomega2,inc2,Omega2,f2,x2,y2,z2,vx2,vy2,vz2,a3,P3,e3,pomega3,inc3,Omega3,f3,x3,y3,z3,vx3,vy3,vz3,Rel_Eerr,integ_time,daOvera1,daOvera2,daOverRH1,daOverRH2,mindaOvera,maxdaOvera,mindaOverRH,maxdaOverRH,avg_a1,std_a1,max_a1,min_a1,norm_std_a1,norm_max_a1,norm_std_window10_a1,norm_max_window10_a1,avg_a2,std_a2,max_a2,min_a2,norm_std_a2,norm_max_a2,norm_std_window10_a2,norm_max_window10_a2,avg_a3,std_a3,max_a3,min_a3,norm_std_a3,norm_max_a3,norm_std_window10_a3,norm_max_window10_a3,avg_e1,std_e1,max_e1,min_e1,norm_std_e1,norm_max_e1,norm_std_window10_e1,norm_max_window10_e1,avg_e2,std_e2,max_e2,min_e2,norm_std_e2,norm_max_e2,norm_std_window10_e2,norm_max_window10_e2,avg_e3,std_e3,max_e3,min_e3,norm_std_e3,norm_max_e3,norm_std_window10_e3,norm_max_window10_e3,norm_std_inc1,norm_max_inc1,norm_std_window10_inc1,norm_max_window10_inc1,norm_std_inc2,norm_max_inc2,norm_std_window10_inc2,norm_max_window10_inc2,norm_std_inc3,norm_max_inc3,norm_std_window10_inc3,norm_max_window10_inc3,norm_LyapunovTime,avg_eH1,avg_eH2,avg_eH3,avg_ecross1,avg_ecross2,avg_ecross3,std_eH1,std_eH2,std_eH3,std_ecross1,std_ecross2,std_ecross3,max_eH1,max_eH2,max_eH3,max_ecross1,max_ecross2,max_ecross3,min_eH1,min_eH2,min_eH3,min_ecross1,min_ecross2,min_ecross3,std_iH1,std_iH2,std_iH3,max_iH1,max_iH2,max_iH3,min_iH1,min_iH2,min_iH3,mean_std_iH,norm_a1_slope,norm_a2_slope,norm_a3_slope,y_pred
129,129,False,9068019.48147,10000000.0,1.5e-05,0.0215443469003,0.0456516194602,0.00975396124025,0.0135215023672,1.32502840171,0.00409195764196,3.07753349855,0.415451741867,-0.00761247342498,0.0444371608383,-0.000179457280915,-29.3730217085,-4.86913605284,0.0275816173475,0.0534925663302,0.0123718212461,0.00688567475493,-1.96289411728,0.00307441429656,0.429914401128,-0.0130456313991,-0.0209379720469,-0.0488232883118,-0.000109602997305,25.1408775843,-10.7790229693,-0.0623386717385,0.0611785529002,0.0151317455149,0.0198208752563,0.933795673639,0.0100695993726,-1.94608745459,-4.70100228895,-0.0495797322467,0.0358182293755,-0.000596724145474,-15.2832649477,-20.2963297431,-0.0682749799698,3.5749589368e-05,406.118453026,0.171756160301,0.143683264747,7.97221475757,6.66918637226,0.143683264747,0.171756160301,6.66918637226,7.97221475757,0.0456583204244,8.41757072179e-06,0.0456973279777,0.0456317151231,0.000184360060632,0.000854336141586,0.000154746550776,0.000316401346519,0.0534967155592,2.79861599291e-05,0.0536054439079,0.0534312511919,0.000523137909245,0.00203243035674,0.00054964313912,0.00108772349162,0.0611629240343,2.81757842683e-05,0.061234477631,0.0610448109281,0.000460667711905,0.00193112262104,0.000480358558483,0.000933321050556,0.0147609217675,0.00622670521203,0.0263558418674,0.00339967871918,0.421837152863,0.785514636725,0.0623762828508,0.0957937201998,0.0107973832153,0.00524530216988,0.0224725409705,0.000349700411584,0.485793832199,1.08129511775,0.137444860763,0.277292998943,0.0115049147869,0.00603385521593,0.0248411912886,0.000287284259096,0.524458922789,1.15918081521,0.068100556707,0.102779143339,0.386662184144,0.7596019091,0.00283267231314,0.00456328758769,0.30038406134,0.591854525383,0.029531962174,0.0392379635903,0.406804472812,0.696841214132,0.00241030778644,0.00423711945695,987.945494067,0.685141296499,0.501170133644,0.534010840067,0.0859411490198,0.0751471177547,0.0800713625711,0.289018053824,0.243465359807,0.280066749939,0.0362531696163,0.0365060063128,0.0419941405603,1.22332981312,1.04308295232,1.15302596099,0.153449179472,0.156403329296,0.172888549912,0.157799107808,0.0162316552552,0.0133345540909,0.0197936348439,0.00243382840862,0.00199942741837,0.110920871985,0.10502458086,0.114179039641,0.504772864034,0.476819415164,0.476257546812,0.153492779997,0.142701670688,0.114034247999,0.138367523301,-5.20711542916e-10,2.03043626332e-09,-1.54425625786e-09,0.0205724220723
130,130,False,2004140.753,10000000.0,1.5e-05,0.0215443469003,0.0456516194602,0.00975396124025,0.0135215023672,1.32502840171,0.00409195764196,3.07753349855,0.415451741867,-0.00761247342498,0.0444371608383,-0.000179457280915,-29.3730217085,-4.86913605284,0.0275816173475,0.0534925663302,0.0123718212461,0.00688567475493,-1.96289411728,0.00307441429656,0.429914401128,-0.013045631399,-0.0209379720469,-0.0488232883118,-0.000109602997305,25.1408775843,-10.7790229693,-0.0623386717385,0.0611785529002,0.0151317455149,0.0198208752563,0.933795673639,0.0100695993727,-1.94608745459,-4.70100228895,-0.0495797322467,0.0358182293755,-0.000596724145474,-15.2832649477,-20.2963297431,-0.0682749799698,0.000202751839368,90.1020741463,0.171756160301,0.143683264747,7.97221475757,6.66918637226,0.143683264747,0.171756160301,6.66918637226,7.97221475757,0.0456583527687,8.35793338101e-06,0.0456973294678,0.045633451615,0.000183053765066,0.000853659774074,0.000154746550776,0.000316401346519,0.0534966417665,2.78326917169e-05,0.0536107503277,0.0534312508187,0.000520269886068,0.00213300419231,0.00054964313912,0.00108772349162,0.061162955841,2.81292197084e-05,0.061234477631,0.0610533441618,0.000459906152697,0.00179212527708,0.000480358558483,0.000933321050556,0.0147605867986,0.00622683673708,0.0263558420629,0.00339967794138,0.421855636369,0.785555169492,0.0623762828502,0.0957937202004,0.0107867915674,0.00525555171612,0.0224726280663,0.000349700334894,0.487221031693,1.0833468345,0.137444860763,0.277292998942,0.0115038013848,0.00603343823856,0.0248412003885,0.000287285128835,0.524473435932,1.15939058382,0.0681005567069,0.102779143339,0.386650512745,0.75967148222,0.00283267231285,0.00456328758917,0.300374190997,0.591843231464,0.0295319621747,0.0392379635916,0.406779522686,0.696810570076,0.00241030778451,0.00423711944805,1275.5278023,0.685125748618,0.500678512897,0.533959160518,0.0859391987612,0.0750734025038,0.0800636135675,0.289024158676,0.243941101601,0.280047395564,0.0362539353824,0.0365773406206,0.0419912385009,1.2233298222,1.04308699495,1.15302638337,0.15344918061,0.156403935461,0.172888613245,0.157799071706,0.0162316516956,0.0133345944606,0.0197936303154,0.00243382787488,0.00199943347154,0.110913138719,0.105018223857,0.114174102203,0.504772865352,0.476791745971,0.476257561266,0.153492779997,0.142701670688,0.114034247995,0.138358826064,-4.98558501065e-10,1.98821558579e-09,-1.52870378237e-09,0.0167448222637
131,131,False,4237698.30884,10000000.0,1.5e-05,0.0215443469003,0.0456516194602,0.00975396124025,0.0135215023672,1.32502840171,0.00409195764196,3.07753349855,0.415451741867,-0.00761247342498,0.0444371608383,-0.000179457280915,-29.3730217085,-4.86913605284,0.0275816173475,0.0534925663302,0.0123718212461,0.00688567475493,-1.96289411728,0.00307441429656,0.429914401128,-0.0130456313991,-0.0209379720469,-0.0488232883118,-0.000109602997305,25.1408775843,-10.7790229693,-0.0623386717385,0.0611785529002,0.0151317455149,0.0198208752563,0.933795673639,0.0100695993726,-1.94608745459,-4.70100228895,-0.0495797322467,0.0358182293755,-0.000596724145474,-15.2832649477,-20.2963297431,-0.0682749799698,1.30898697234e-05,190.608668804,0.171756160301,0.143683264747,7.97221475757,6.66918637226,0.143683264747,0.171756160301,6.66918637226,7.97221475757,0.0456583366334,8.38696326278e-06,0.0456973285566,0.0456325448453,0.000183689636575,0.000853993511595,0.000154746550776,0.000316401346519,0.0534966793507,2.7904379225e-05,0.0536050283323,0.0534312510383,0.000521609557148,0.00202534031837,0.00054964313912,0.00108772349162,0.061162939535,2.81471878026e-05,0.061234477631,0.06104903517,0.000460200049517,0.00186231018134,0.000480358558483,0.000933321050556,0.0147606492058,0.00622672438961,0.0263558419321,0.00339967833719,0.421846241504,0.785547611403,0.0623762828502,0.0957937202004,0.0107928200221,0.0052495434618,0.0224725752162,0.00034970039101,0.486392198798,1.08217826019,0.137444860764,0.277292998943,0.011504467961,0.00603370054045,0.0248411948574,0.000287284576427,0.524465847607,1.15926498657,0.0681005567069,0.102779143339,0.386656864024,0.759633842568,0.00283267231352,0.00456328758843,0.300380134302,0.591849189697,0.0295319621784,0.039237963587,0.406796158969,0.696831054318,0.00241030778644,0.00423711945695,1203.88789722,0.685128645304,0.50095832898,0.533990100246,0.0859395621089,0.0751153590584,0.0800682527732,0.289018943968,0.243662223139,0.280059570539,0.0362532812721,0.0365355246559,0.0419930640571,1.22332981613,1.04308454186,1.15302612664,0.153449179849,0.156403567638,0.172888574749,0.157799090078,0.0162316543002,0.0133345688201,0.0197936326198,0.00243382826543,0.00199942962692,0.110917332976,0.105021834882,0.11417739104,0.504772864498,0.476769433176,0.476257551959,0.153492779997,0.142701670688,0.114034247993,0.138363900241,-5.09654258519e-10,2.00968459775e-09,-1.53661177016e-09,0.0203869584948
132,132,False,7064220.26623,10000000.0,1.5e-05,0.0215443469003,0.0456516194602,0.00975396124025,0.0135215023672,1.32502840171,0.00409195764196,3.07753349855,0.415451741867,-0.00761247342498,0.0444371608383,-0.000179457280915,-29.3730217085,-4.86913605284,0.0275816173475,0.0534925663302,0.0123718212461,0.00688567475493,-1.96289411728,0.00307441429656,0.429914401128,-0.0130456313991,-0.0209379720469,-0.0488232883118,-0.000109602997305,25.1408775843,-10.7790229693,-0.0623386717385,0.0611785529002,0.0151317455149,0.0198208752563,0.933795673639,0.0100695993727,-1.94608745459,-4.70100228895,-0.0495797322467,0.0358182293755,-0.000596724145474,-15.2832649477,-20.2963297431,-0.0682749799698,0.000368391588276,315.599080801,0.171756160301,0.143683264747,7.97221475757,6.66918637226,0.143683264747,0.171756160301,6.66918637226,7.97221475757,0.0456583579547,8.34672518818e-06,0.0456973302704,0.0456336267366,0.000182808264731,0.00085356367262,0.000154746550776,0.000316401346519,0.0534966263426,2.78116329652e-05,0.0536099989942,0.0534312506068,0.00051987638972,0.00211924862106,0.00054964313912,0.00108772349162,0.0611629647566,2.81251457975e-05,0.061234477631,0.0610542826472,0.000459839478178,0.00177692676908,0.000480358558483,0.000933321050556,0.0147614653466,0.00622728000181,0.0263558421507,0.00339967740508,0.42186055758,0.785448905777,0.0623762828502,0.0957937202004,0.0107827169819,0.00526007864055,0.0224726756212,0.000349700307817,0.487824974853,1.08413850228,0.137444860763,0.277292998942,0.011503338208,0.00603314637979,0.0248412053371,0.000287285564384,0.524469181961,1.15947796091,0.0681005567069,0.102779143339,0.386650212052,0.759679654763,0.00283267231318,0.00456328758843,0.300368681531,0.591839632824,0.0295319621747,0.0392379635916,0.406760059913,0.696786192864,0.00241030778451,0.00423711944805,919.771430909,0.685166527205,0.500489387394,0.533937661758,0.08594431385,0.0750450443964,0.0800603899718,0.289044733202,0.244151222819,0.28003384868,0.0362565161616,0.0366088468955,0.041989207236,1.22332982627,1.04308920225,1.15302661306,0.153449181121,0.156404266432,0.172888647686,0.157799046813,0.0162316504388,0.013334614677,0.0197936271929,0.00243382768643,0.00199943650286,0.110912537483,0.105015371711,0.114170281358,0.504772865974,0.476814599813,0.476257568367,0.153492779997,0.142701670688,0.114034248002,0.138355179025,-4.94904771943e-10,1.97954419325e-09,-1.52454241627e-09,0.0175826717168
133,133,False,1596209.24194,10000000.0,1.5e-05,0.0215443469003,0.0456516194602,0.00975396124025,0.0135215023672,1.32502840171,0.00409195764196,3.07753349855,0.415451741867,-0.00761247342498,0.0444371608383,-0.000179457280915,-29.3730217085,-4.86913605284,0.0275816173475,0.0534925663302,0.0123718212461,0.00688567475493,-1.96289411728,0.00307441429656,0.429914401128,-0.0130456313991,-0.0209379720469,-0.0488232883118,-0.000109602997305,25.1408775843,-10.7790229693,-0.0623386717385,0.0611785529002,0.0151317455149,0.0198208752563,0.933795673639,0.0100695993727,-1.94608745459,-4.70100228895,-0.0495797322467,0.0358182293755,-0.000596724145474,-15.2832649477,-20.2963297431,-0.0682749799698,0.000321952705854,71.7638180256,0.171756160301,0.143683264747,7.97221475757,6.66918637226,0.143683264747,0.171756160301,6.66918637226,7.97221475757,0.0456583042177,8.45740354047e-06,0.0456973270002,0.0456308133418,0.000185232537331,0.000854669991437,0.000154746550776,0.000316401346519,0.0534967588498,2.80937950533e-05,0.0536048476592,0.0534312514261,0.000525149479283,0.00202047398165,0.00054964313912,0.00108772349162,0.061162900553,2.82256502279e-05,0.061234477631,0.0610414305059,0.000461483186257,0.0019860086093,0.000480358558483,0.000933321050556,0.0147593315171,0.00622560940337,0.0263558417215,0.00339967911238,0.421808358744,0.78570700787,0.0623762828502,0.0957937202004,0.0108058704991,0.00523769887658,0.0224724845035,0.0003497004737,0.484708647675,1.07965517497,0.137444860764,0.277292998944,0.0115054329061,0.00603414126115,0.0248411853787,0.000287283654776,0.524460166808,1.15908306809,0.0681005567069,0.102779143339,0.386667499259,0.759562587549,0.00283267231391,0.00456328758917,0.300390239897,0.591867813966,0.0295319621766,0.0392379635883,0.406815719933,0.696855115242,0.00241030778451,0.00423711944805,980.617619434,0.685067483613,0.501564078462,0.534034889031,0.0859318902519,0.0752061871518,0.0800749685527,0.288967190892,0.243112446194,0.280080026982,0.0362467895909,0.0364530892711,0.0419961313643,1.22332980635,1.04308033135,1.15302568668,0.153449178622,0.1564029363,0.17288850878,0.157799126059,0.0162316581384,0.0133345260409,0.0197936371332,0.00243382884093,0.00199942321246,0.110924875335,0.105030160714,0.114181258561,0.504772863096,0.47693053883,0.47625753667,0.153492779997,0.142701670688,0.114034247981,0.138373659851,-5.32055919303e-10,2.05560256753e-09,-1.55595989095e-09,0.0259793512523
134,134,False,1420242.40148,10000000.0,1.5e-05,0.0215443469003,0.0456516194602,0.00975396124025,0.0135215023672,1.32502840171,0.00409195764196,3.07753349855,0.415451741867,-0.00761247342498,0.0444371608383,-0.000179457280915,-29.3730217085,-4.86913605284,0.0275816173475,0.0534925663302,0.0123718212461,0.00688567475493,-1.96289411728,0.00307441429656,0.429914401128,-0.013045631399,-0.0209379720469,-0.0488232883118,-0.000109602997305,25.1408775843,-10.7790229693,-0.0623386717385,0.0611785529002,0.0151317455149,0.0198208752563,0.933795673639,0.0100695993727,-1.94608745459,-4.70100228895,-0.0495797322467,0.0358182293755,-0.000596724145474,-15.2832649477,-20.2963297431,-0.0682749799698,0.000125924584273,64.0867979527,0.171756160301,0.143683264747,7.97221475757,6.66918637226,0.143683264747,0.171756160301,6.66918637226,7.97221475757,0.0456583402511,8.38044023285e-06,0.0456973287077,0.0456327628137,0.0001835467559,0.00085391751898,0.000154746550776,0.000316401346519,0.0534966713292,2.78875400069e-05,0.0536061476673,0.0534312510015,0.000521294864036,0.00204641401795,0.00054964313912,0.00108772349162,0.0611629428602,2.81422061769e-05,0.061234477631,0.0610499869308,0.000460118576066,0.00184680337674,0.000480358558483,0.000933321050556,0.0147605821185,0.00622672426138,0.026355841953,0.00339967826755,0.421848150118,0.785555728177,0.0623762828502,0.0957937202004,0.0107917254318,0.00525059795553,0.0224725840005,0.000349700382547,0.486539246084,1.08239026674,0.137444860763,0.277292998942,0.0115043514677,0.0060336597992,0.0248411957808,0.000287284667791,0.524467616981,1.1592869316,0.0681005567069,0.102779143339,0.386655468628,0.759641842027,0.00283267231352,0.00456328758843,0.300379127254,0.591848004879,0.0295319621771,0.039237963588,0.406793762582,0.69682812953,0.00241030778451,0.00423711944805,922.24371312,0.685125531391,0.500907522597,0.533984693106,0.0859391715132,0.0751077409804,0.0800674420088,0.289018938016,0.243711168402,0.280057679498,0.0362532805256,0.0365428636716,0.0419927805081,1.2233298171,1.04308494959,1.1530261695,0.15344917997,0.156403628774,0.172888581176,0.157799086845,0.0162316539074,0.0133345730609,0.0197936322144,0.00243382820653,0.00199943026279,0.110916428482,0.105021177922,0.114176915602,0.504772864632,0.476770186311,0.476257553477,0.153492779997,0.142701670688,0.114034247991,0.138362983924,-5.07180319671e-10,2.00509228055e-09,-1.53498226093e-09,0.0214030537754
135,135,False,6013439.48349,10000000.0,1.5e-05,0.0215443469003,0.0456516194602,0.00975396124025,0.0135215023672,1.32502840171,0.00409195764196,3.07753349855,0.415451741867,-0.00761247342498,0.0444371608383,-0.000179457280915,-29.3730217085,-4.86913605284,0.0275816173475,0.0534925663302,0.0123718212461,0.00688567475493,-1.96289411728,0.00307441429656,0.429914401128,-0.0130456313991,-0.0209379720469,-0.0488232883118,-0.000109602997305,25.1408775843,-10.7790229693,-0.0623386717385,0.0611785529002,0.0151317455149,0.0198208752563,0.933795673639,0.0100695993727,-1.94608745459,-4.70100228895,-0.0495797322467,0.0358182293755,-0.000596724145474,-15.2832649477,-20.2963297431,-0.0682749799698,1.20396256158e-05,268.378932953,0.171756160301,0.143683264747,7.97221475757,6.66918637226,0.143683264747,0.171756160301,6.66918637226,7.97221475757,0.0456583268085,8.40513733215e-06,0.0456973281991,0.0456320154047,0.000184087721116,0.000854201047887,0.000154746550776,0.000316401346519,0.053496701226,2.79528060115e-05,0.0536045823283,0.0534312511344,0.000522514573253,0.00201659354345,0.00054964313912,0.00108772349162,0.0611629302655,2.81634581462e-05,0.061234477631,0.0610464786835,0.00046046613568,0.00190395688165,0.000480358558483,0.000933321050556,0.0147608415673,0.00622672921063,0.0263558418941,0.0033996785866,0.421841070663,0.785524339786,0.0623762828502,0.0957937202004,0.0107955785733,0.005246954825,0.022472554,0.000349700400742,0.486028126181,1.08164424422,0.137444860763,0.277292998942,0.0115047510174,0.00603379524088,0.0248411926473,0.000287284383736,0.524461175365,1.15921166913,0.068100556707,0.102779143339,0.386660232592,0.759613982863,0.00283267231391,0.00456328758917,0.300382566987,0.591852292098,0.0295319621756,0.0392379635906,0.406801434577,0.696837489797,0.00241030778451,0.00423711944805,1077.70906231,0.685137573935,0.501086369581,0.53400323856,0.0859406820776,0.0751345578923,0.0800702227759,0.28901916774,0.243542069262,0.280063966144,0.0362533093411,0.0365175083838,0.0419937231488,1.22332981436,1.04308355709,1.15302602405,0.153449179627,0.156403419978,0.172888559368,0.157799101654,0.016231654752,0.0133345598762,0.019793634072,0.00243382833316,0.00199942828584,0.110919551099,0.105023483716,0.114178437989,0.504772864224,0.476792805715,0.476257548863,0.153492779997,0.142701670688,0.114034247993,0.138366120414,-5.16355643837e-10,2.02221420622e-09,-1.54117664101e-09,0.0252759158611
